total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
-0.02,0.0,-0.02,,1,2021-01-05 11:00:00+00:00,2021-01-20 00:00:00+00:00,19,True,All checks passed,FTMO,-11.337746636289308,-11.337746636287193,99995.40140703112
-0.06,0.0,-0.06,,1,2021-01-22 23:00:00+00:00,2021-02-06 12:00:00+00:00,20,True,All checks passed,FTMO,-10.109431716431803,-31.571157343278173,99988.01101661492
0.08,0.0,-0.0,,1,2021-02-09 11:00:00+00:00,2021-02-24 00:00:00+00:00,21,True,All checks passed,FTMO,-3.654783933263152,-4.432778403061093,100021.35201918124
0.02,0.0,-0.02,,1,2021-02-26 23:00:00+00:00,2021-03-13 12:00:00+00:00,22,True,All checks passed,FTMO,-8.010257290504423,-18.68725159468886,100009.10223623792
0.03,0.0,-0.01,,1,2021-03-16 11:00:00+00:00,2021-03-31 00:00:00+00:00,23,True,All checks passed,FTMO,-12.035229050165112,-15.260820044757565,99996.25025242432
-0.02,0.0,-0.03,,1,2021-04-02 23:00:00+00:00,2021-04-17 12:00:00+00:00,24,True,All checks passed,FTMO,-5.84024759325086,-13.137893640319817,99986.86210635968
-0.02,0.0,-0.02,,1,2021-04-20 11:00:00+00:00,2021-05-05 00:00:00+00:00,25,True,All checks passed,FTMO,-6.531094055011274,-9.085021657359903,100004.8256601536
0.01,0.0,-0.08,,1,2021-05-07 23:00:00+00:00,2021-05-22 12:00:00+00:00,26,True,All checks passed,FTMO,-13.838280151591128,-28.9381444301398,99990.47295697026
0.04,0.0,-0.0,,1,2021-05-25 11:00:00+00:00,2021-06-09 00:00:00+00:00,27,True,All checks passed,FTMO,-1.1157614359611583,-3.698650320060551,100017.6185366407
-0.03,0.0,-0.03,,1,2021-06-11 23:00:00+00:00,2021-06-26 12:00:00+00:00,28,True,All checks passed,FTMO,-5.166839373278398,-15.851067495532334,99988.40013589717
-0.01,0.0,-0.02,,1,2021-06-29 11:00:00+00:00,2021-07-14 00:00:00+00:00,29,True,All checks passed,FTMO,-4.524604703371635,-20.305740915820934,99982.5619484721
