,timestamp,close,regime,signal,signal_strength,position,action,entry_price,position_size,primary_reason,secondary_reason
6140,6140,120.688,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6141,6141,120.688,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6142,6142,120.688,RANGING,0,0.0,1,HOLD,120.277,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6143,6143,120.838,RANGING,-1,0.0,0,EXIT_SIGNAL,,,"Combined Score Signal: MR=0.00*0.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.50 (threshold: 0.7)"
6144,6144,120.687,RANGING,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6145,6145,119.968,RANGING,1,1.0,1,BUY,119.968,0.03,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.50 (threshold: 0.7)"
6146,6146,119.817,RANGING,1,1.0,1,HOLD,119.968,,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: RANGING, Final Score: 0.50 (threshold: 0.7)"
6147,6147,120.047,NEUTRAL,1,0.6382767278782879,1,HOLD,119.968,,"Combined Score Signal: MR=1.00*0.64, MOM=0.00*0.00","Regime: NEUTRAL, Final Score: 0.32 (threshold: 0.7)"
6148,6148,120.387,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6149,6149,118.937,HIGH_VOLATILITY,1,1.0,1,HOLD,119.968,,"Combined Score Signal: MR=1.00*1.00, MOM=0.00*0.00","Regime: HIGH_VOLATILITY, Final Score: 0.50 (threshold: 0.7)"
6150,6150,118.937,HIGH_VOLATILITY,1,0.8499681220550072,1,HOLD,119.968,,"Combined Score Signal: MR=1.00*0.85, MOM=0.00*0.00","Regime: HIGH_VOLATILITY, Final Score: 0.42 (threshold: 0.7)"
6151,6151,118.937,HIGH_VOLATILITY,1,0.6997205433866899,1,HOLD,119.968,,"Combined Score Signal: MR=1.00*0.70, MOM=0.00*0.00","Regime: HIGH_VOLATILITY, Final Score: 0.35 (threshold: 0.7)"
6152,6152,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,"Signal too weak: MR=oversold: z=-1.80, rsi=25.9","MOM=, Score below 0.7 threshold"
6153,6153,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6154,6154,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6155,6155,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
